Athlete Name,Medal Type,Medal Date,Country Code,Gender,Sport Discipline
BOBECK/NETZLER,Silver Medal,8/2/2024,SWE,F,Sailing
Chiara LEONE,Gold Medal,8/2/2024,SUI,F,Shooting
Sagen MADDALENA,Silver Medal,8/2/2024,USA,F,Shooting
Leon MARCHAND,Gold Medal,8/2/2024,FRA,M,Swimming
Duncan SCOTT,Silver Medal,8/2/2024,GBR,M,Swimming
Francisco GARRIGOS,Bronze Medal,7/27/2024,ESP,M,Judo
Cameron McEVOY,Gold Medal,8/2/2024,AUS,M,Swimming
Benjamin PROUD,Silver Medal,8/2/2024,GBR,M,Swimming
Fred KERLEY,Bronze Medal,8/4/2024,USA,M,Athletics
Kaylee McKEOWN,Gold Medal,8/2/2024,AUS,F,Swimming
Regan SMITH,Silver Medal,8/2/2024,USA,F,Swimming
FRITZ/PAUL,Bronze Medal,8/3/2024,USA,M,Tennis
FUNAKUBO Haruka,Bronze Medal,7/29/2024,JPN,F,Judo
Ivan LITVINOVICH,Gold Medal,8/2/2024,AIN,M,Trampoline Gymnastics
WANG Zisai,Silver Medal,8/2/2024,CHN,M,Trampoline Gymnastics
Gabriel Alejandro ROSILLO KINDELAN,Bronze Medal,8/7/2024,CUB,M,Wrestling
Bryony PAGE,Gold Medal,8/2/2024,GBR,F,Trampoline Gymnastics
Viyaleta BARDZILOUSKAYA,Silver Medal,8/2/2024,AIN,F,Trampoline Gymnastics
Gabriel MEDINA,Bronze Medal,8/5/2024,BRA,M,Surfing
LIM Sihyeon,Gold Medal,8/3/2024,KOR,F,Archery
NAM Suhyeon,Silver Medal,8/3/2024,KOR,F,Archery
Gabriella WILLEMS,Bronze Medal,7/31/2024,BEL,F,Judo
Carlos Edriel YULO,Gold Medal,8/3/2024,PHI,M,Artistic Gymnastics
Artem DOLGOPYAT,Silver Medal,8/3/2024,ISR,M,Artistic Gymnastics
Georgia BELL,Bronze Medal,8/10/2024,GBR,F,Athletics
Rhys MC CLENAGHAN,Gold Medal,8/3/2024,IRL,M,Artistic Gymnastics
Nariman KURBANOV,Silver Medal,8/3/2024,KAZ,M,Artistic Gymnastics
Simone BILES,Gold Medal,8/3/2024,USA,F,Artistic Gymnastics
Rebeca ANDRADE,Silver Medal,8/3/2024,BRA,F,Artistic Gymnastics
Markus ROOTH,Gold Medal,8/3/2024,NOR,M,Athletics
Leo NEUGEBAUER,Silver Medal,8/3/2024,GER,M,Athletics
Ryan CROUSER,Gold Medal,8/3/2024,USA,M,Athletics
Joe KOVACS,Silver Medal,8/3/2024,USA,M,Athletics
Ginevra TADDEUCCI,Bronze Medal,8/8/2024,ITA,F,Marathon Swimming
Julien ALFRED,Gold Medal,8/3/2024,LCA,F,Athletics
Sha'carri RICHARDSON,Silver Medal,8/3/2024,USA,F,Athletics
Giorgi MESHVILDISHVILI,Bronze Medal,8/10/2024,AZE,M,Wrestling
Thea LAFOND,Gold Medal,8/3/2024,DMA,F,Athletics
Shanieka RICKETTS,Silver Medal,8/3/2024,JAM,F,Athletics
Giorgio MALAN,Bronze Medal,8/10/2024,ITA,M,Modern Pentathlon
CHEN/JIA,Gold Medal,8/3/2024,CHN,F,Badminton
LIU/TAN,Silver Medal,8/3/2024,CHN,F,Badminton
Gor MINASYAN,Bronze Medal,8/10/2024,BRN,M,Weightlifting
Grace Jacob BULLEN,Bronze Medal,8/10/2024,NOR,F,Wrestling
Grant FISHER,Bronze Medal,8/2/2024,USA,M,Athletics
Remco EVENEPOEL,Gold Medal,8/3/2024,BEL,M,Cycling Road
Valentin MADOUAS,Silver Medal,8/3/2024,FRA,M,Cycling Road
Grant FISHER,Bronze Medal,8/10/2024,USA,M,Athletics
Ukraine,Gold Medal,8/3/2024,UKR,F,Fencing
Korea,Silver Medal,8/3/2024,KOR,F,Fencing
Great Britain,Gold Medal,8/3/2024,GBR,M,Rowing
Netherlands,Silver Medal,8/3/2024,NED,M,Rowing
Oliver ZEIDLER,Gold Medal,8/3/2024,GER,M,Rowing
Yauheni ZALATY,Silver Medal,8/3/2024,AIN,M,Rowing
Romania,Gold Medal,8/3/2024,ROU,F,Rowing
Canada,Silver Medal,8/3/2024,CAN,F,Rowing
Karolien FLORIJN,Gold Medal,8/3/2024,NED,F,Rowing
Emma TWIGG,Silver Medal,8/3/2024,NZL,F,Rowing
Tom REUVENY,Gold Medal,8/3/2024,ISR,M,Sailing
Grae MORRIS,Silver Medal,8/3/2024,AUS,M,Sailing
Marta MAGGETTI,Gold Medal,8/3/2024,ITA,F,Sailing
Sharon KANTOR,Silver Medal,8/3/2024,ISR,F,Sailing
YANG Jiin,Gold Medal,8/3/2024,KOR,F,Shooting
Camille JEDRZEJEWSKI,Silver Medal,8/3/2024,FRA,F,Shooting
Vincent HANCOCK,Gold Medal,8/3/2024,USA,M,Shooting
Conner Lynn PRINCE,Silver Medal,8/3/2024,USA,M,Shooting
Kristof MILAK,Gold Medal,8/3/2024,HUN,M,Swimming
Josh LIENDO,Silver Medal,8/3/2024,CAN,M,Swimming
Summer McINTOSH,Gold Medal,8/3/2024,CAN,F,Swimming
Kate DOUGLASS,Silver Medal,8/3/2024,USA,F,Swimming
Katie LEDECKY,Gold Medal,8/3/2024,USA,F,Swimming
Ariarne TITMUS,Silver Medal,8/3/2024,AUS,F,Swimming
CHEN Meng,Gold Medal,8/3/2024,CHN,F,Table Tennis
SUN Yingsha,Silver Medal,8/3/2024,CHN,F,Table Tennis
Gregorio PALTRINIERI,Bronze Medal,7/30/2024,ITA,M,Swimming
EBDEN/PEERS,Gold Medal,8/3/2024,AUS,M,Tennis
KRAJICEK/RAM,Silver Medal,8/3/2024,USA,M,Tennis
Gulomjon ABDULLAEV,Bronze Medal,8/9/2024,UZB,M,Wrestling
Gusman KYRGYZBAYEV,Bronze Medal,7/28/2024,KAZ,M,Judo
ZHENG Qinwen,Gold Medal,8/3/2024,CHN,F,Tennis
Donna VEKIC,Silver Medal,8/3/2024,CRO,F,Tennis
KIM Woojin,Gold Medal,8/4/2024,KOR,M,Archery
Brady ELLISON,Silver Medal,8/4/2024,USA,M,Archery
Hampton MORRIS,Bronze Medal,8/7/2024,USA,M,Weightlifting
LIU Yang,Gold Medal,8/4/2024,CHN,M,Artistic Gymnastics
ZOU Jingyuan,Silver Medal,8/4/2024,CHN,M,Artistic Gymnastics
Harry HEPWORTH,Bronze Medal,8/4/2024,GBR,M,Artistic Gymnastics
Carlos Edriel YULO,Gold Medal,8/4/2024,PHI,M,Artistic Gymnastics
Artur DAVTYAN,Silver Medal,8/4/2024,ARM,M,Artistic Gymnastics
HASHIMOTO Soichi,Bronze Medal,7/29/2024,JPN,M,Judo
Kaylia NEMOUR,Gold Medal,8/4/2024,ALG,F,Artistic Gymnastics
QIU Qiyuan,Silver Medal,8/4/2024,CHN,F,Artistic Gymnastics
Hasrat JAFAROV,Bronze Medal,8/8/2024,AZE,M,Wrestling
Noah LYLES,Gold Medal,8/4/2024,USA,M,Athletics
Kishane THOMPSON,Silver Medal,8/4/2024,JAM,M,Athletics
HAUGHEY Siobhan Bernadette,Bronze Medal,7/29/2024,HKG,F,Swimming
Ethan KATZBERG,Gold Medal,8/4/2024,CAN,M,Athletics
Bence HALASZ,Silver Medal,8/4/2024,HUN,M,Athletics
HAUGHEY Siobhan Bernadette,Bronze Medal,7/31/2024,HKG,F,Swimming
Yaroslava MAHUCHIKH,Gold Medal,8/4/2024,UKR,F,Athletics
Nicola OLYSLAGERS,Silver Medal,8/4/2024,AUS,F,Athletics
Helen Louise MAROULIS,Bronze Medal,8/9/2024,USA,F,Wrestling
Hellen OBIRI,Bronze Medal,8/11/2024,KEN,F,Athletics
LEE/WANG,Gold Medal,8/4/2024,TPE,M,Badminton
LIANG/WANG,Silver Medal,8/4/2024,CHN,M,Badminton
Hina HAYATA,Bronze Medal,8/3/2024,JPN,F,Table Tennis
HONG Kexin,Bronze Medal,8/9/2024,CHN,F,Wrestling
HUBERLI/BRUNNER,Bronze Medal,8/9/2024,SUI,F,Beach Volleyball
Hungary,Bronze Medal,8/8/2024,HUN,F,Canoe Sprint
